feedback,label
"I really enjoyed the lecture, it was very informative!",Positive
"The concepts were explained clearly, I learned a lot.",Positive
"The course is good, but some parts were a bit confusing.",Neutral
I'm not sure if I understood the topic completely.,Neutral
"The teacher was a bit too fast, I had trouble keeping up.",Negative
I didn't like the way the content was delivered.,Negative
"This was an amazing session, I feel more confident now!",Positive
"The explanation was too complex, it should be simpler.",Negative
"The session was okay, but I need more examples.",Neutral
I absolutely loved the interactive activities!,Positive
The assignments were difficult but helped me learn a lot.,Positive
The class was boring and didn't keep my attention.,Negative
"The lecture was just average, nothing special.",Neutral
"The topic was interesting, but I wish there was more detail.",Neutral
"I struggled with some concepts, but overall, it was fine.",Neutral
The discussion was engaging and very helpful.,Positive
I felt lost and didn't understand much.,Negative
The professor explained things really well!,Positive
"It was neither good nor bad, just okay.",Neutral
I wish there was more practical application.,Neutral
I had a great learning experience!,Positive
The pace was too slow for me.,Negative
I found it frustrating because I couldnot understand the examples.,Negative
"This was a waste of time, I didnot learn anything new.",Negative
"I liked the class, it was fun.",Positive
"The class was okay, but could be better.",Neutral
I didn’t understand the topic well.,Negative
The lesson was interesting and helpful.,Positive
The lecture was too fast for me.,Negative
The teacher explained things clearly.,Positive
I felt lost during the lesson.,Negative
"The session was good, I learned something new.",Positive
I didn’t find the lesson useful.,Negative
"The lecture was boring, I almost fell asleep.",Negative
"It was a good session, I enjoyed it.",Positive
"The class was okay, nothing special.",Neutral
The examples were easy to follow.,Positive
I didn’t like the teaching style.,Negative
The lesson could be better with more examples.,Neutral
I loved the interactive parts of the lesson.,Positive
The session was a bit too long.,Neutral
I found the topic too confusing.,Negative
The session was very helpful for my understanding.,Positive
The pace of the class was too slow.,Negative
This was okay okay ,Neutral
It was not that interseting but good to know,Neutral
Good but can improve better,Neutral
Not that bad,Neutral
good,Neutral
bad,Neutral
not interesting,Negative
interesting,Positive
boring,Negative
very useful,Positive
Useless!,Negative
Very informative,Positive
waste of time,Negative
It was very good. I am excited for the next lecture,Positive
I could clearly understand the topic.Cant wait to learn more!,Positive
I didnt understand few topics,Neutral
It would be better if basics was included,Neutral
Horrible,Negative
I couldnt understand a single word,Negative
I didnt find it much interesting but i learnt a few concepts,Neutral
Very good,Positive
Very bad,Negative
i really enjoyed the course,Positive
content of the courses are good,Neutral
The was course was not that much useful,Neutral
The class was very useful,Positive
i didnt understand anything,Negative
Worst lecture,Negative
Best lecture,Positive
the lecture was okay,Neutral
I didnt find it much interesting,Neutral
the lecture was okayish,Neutral
Rubbish lecture,Negative
useful content,Neutral
didnt meet my exoectations,Negative
It was just like what i expected,Neutral
I loved the lecture,Positive
Kinda boring,Neutral
cant wait for the next lecture,Neutral
Best lecture!,Positive
Worst lecture!,Negative
